지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2024-06-13,매우우수,배스킨라빈스 화양삼거리점,이*연,"서울특별시 광진구 광나루로 361(1층 105,106호 군자동, 광진 동양파라곤 2단지)",휴게음식점,군자동 
식품의약품안전처,2024-06-10,우수,배스킨라빈스건대동문회관점,유*나,서울특별시 광진구 아차산로 288(1층 자양동),휴게음식점,자양동 
식품의약품안전처,2023-06-14,매우우수,배스킨라빈스광나루역점,이*민,서울특별시 광진구 아차산로 608(1층 광장동),휴게음식점,광장동 
식품의약품안전처,2024-02-10,매우우수,배스킨라빈스구의사거리점,이*규,"서울특별시 광진구 광나루로 527(1층 1,2,3,6,7호 구의동)",휴게음식점,구의동 
식품의약품안전처,2024-09-12,매우우수,백돈 구의점,김*찬,서울특별시 광진구 아차산로41길 22(1층 자양동),일반음식점,자양동
식품의약품안전처,2025-01-14,매우우수,백소정 아차산역점,김*기,서울특별시 광진구 천호대로129길 7(2층 중곡동),일반음식점,중곡동
식품의약품안전처,2024-07-25,매우우수,백억커피건대로데오점,양*찬,서울특별시 광진구 동일로20길 82(1층 자양동),일반음식점,자양동
식품의약품안전처,2024-09-23,매우우수,버거킹 군자역점,이*형,서울특별시 광진구 천호대로 575(1층 중곡동),휴게음식점,중곡동
식품의약품안전처,2023-07-27,매우우수,버거킹 아차산역점,이*형,서울특별시 광진구 천호대로 661(정성빌딩 1층 구의동),휴게음식점,구의동 
식품의약품안전처,2024-07-11,매우우수,버거킹건대입구역점,문*주,"서울특별시 광진구 아차산로 229(한림타워 1층 104호일부,106,107,108호 화양동)",휴게음식점,화양동 
식품의약품안전처,2024-03-23,매우우수,버거킹구의점,문*주,서울특별시 광진구 아차산로 466(1층 구의동),휴게음식점,구의동 
식품의약품안전처,2024-07-05,매우우수,버거킹군자능동점,문*주,서울특별시 광진구 능동로 245(1층 군자동),휴게음식점,군자동 
